Model,Class,precision,recall,f1-score,support
Random Forest,M,0.65,0.88,0.75,104.0
Random Forest,MM1,0.75,0.32,0.44,38.0
Random Forest,MS,0.6,0.41,0.49,22.0
Random Forest,MZ,0.85,0.85,0.85,26.0
Random Forest,Other,0.55,0.43,0.48,28.0
Random Forest,accuracy,0.67,0.67,0.67,0.67
Random Forest,macro avg,0.68,0.57,0.6,218.0
Random Forest,weighted avg,0.67,0.67,0.65,218.0
1D CNN,M,0.69,0.9,0.78,104.0
1D CNN,MM1,0.5,0.37,0.42,38.0
1D CNN,MS,0.78,0.82,0.8,22.0
1D CNN,MZ,1.0,0.69,0.82,26.0
1D CNN,Other,0.69,0.32,0.44,28.0
1D CNN,accuracy,0.7,0.7,0.7,0.7
1D CNN,macro avg,0.73,0.62,0.65,218.0
1D CNN,weighted avg,0.7,0.7,0.68,218.0
